Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
"Hamilton,Robert:ARCH-5670-002-ADVANCED DESIGN STUDIO"	Mean	3.6667	3.8333	4.2	4	4.1667	4.1667
	N	6	6	5	6	6	6
"Hamilton,Shelley:MATH-1308-001-ELEM STATISTICAL ANALYSIS"	Mean	3.3333	4	2.6667	3.6667	2.3333	3
	N	3	3	3	3	3	3
"Hamilton,Shelley:MATH-1308-001/111-ELEM STATISTICAL ANALYSIS"	Mean	4.0222	3.5909	3.3415	3.7073	3.0227	3.3095
	N	45	44	41	41	44	42
"Hamilton,Shelley:MATH-1308-100/101/102/103-ELEM STATISTICAL ANALYSIS (2132-1-0143)"	Mean	3.8919	3.8108	3.9444	3.7568	3.3143	3.4054
	N	37	37	36	37	35	37
"Hamilton,Shelley:MATH-1308-200/201/202/203-ELEM STATISTICAL ANALYSIS (2132-1-0144)"	Mean	4.1212	3.8788	3.8485	3.8788	3.8788	3.75
	N	33	33	33	33	33	32
"Hamilton,Shelley:MATH-1308-700-ELEM STATISTICAL ANALYSIS"	Mean	4.4054	3.7568	3.1944	4.0857	3.4516	3.3784
	N	37	37	36	35	31	37
"Hamilton,Shelley:MATH-1308-701 and 900 ELEMENTARY STATISTICAL ANALYSIS"	Mean	4.6667	4.2222	4	4.3333	3.8889	4.2222
	N	9	9	9	9	9	9
"Hamilton,Shelley:MATH-1308-702 & 901 ELEMENTARY STATISTICAL ANALYSIS"	Mean	4.1875	3.3437	3.3125	3.8065	2.9286	3.0323
	N	32	32	32	31	28	31
"Han,Chien-Pai:MATH-5355-001 & STATS-5355-001-STATS THEORY FOR RESEARCH (2132-1-0152)"	Mean	3.8333	3.6667	3.5	4.3333	4.3333	4
	N	6	6	6	6	6	6
"Han,Chien-Pai:MATH-5356-001-APPLD MULTIVARIATE STAT ANLS"	Mean	4.6667	4.6667	4.6667	5	5	4.6667
	N	3	3	3	3	3	3
"Han,Chunping:SOCI-3340-001-SOCIOLOGY OF EDUCATION"	Mean	3.6667	2.8889	3.4444	4.5556	4	2.6667
	N	9	9	9	9	8	9
"Han,Chunping:SOCI-3352-002-SOCIAL STATISTICS"	Mean	4.4	3.8	3.8	4.4	4.5	3.2
	N	5	5	5	5	4	5
"Han,Chunping:SOCI-5303-001-RESEARCH DESIGN"	Mean	3.4	3.6	4.2	4	4.25	3.2
	N	5	5	5	5	4	5
"Han,Zhen:MAE-3303-001-AERODYNAMICS COMPRESSIBLE FLOW"	Mean	3.9333	4.0667	4.1333	4.4	4.2667	4.0667
	N	15	15	15	15	15	15
"Hancock,Pamela:SOCW-6324-005/006-RESEARCH AND EVALUATION METHODS IN SOCIAL WORK II"	Mean	4.4286	4.4286	4.1429	4.5714	4.5714	4.2857
	N	7	7	7	7	7	7
"Hancock,Pamela:SOCW-6359-001-SOCIAL WORK IN SCHOOLS"	Mean	4.875	4.875	4.875	4.75	4.875	4.875
	N	8	8	8	8	8	8
"Handy,Nancy:NURS-5315-001-ADVANCED PATHOPHYSIOLOGY"	Mean	4.4444	4	4.2222	4.2222	4.5556	4.4444
	N	9	9	9	9	9	9
"Handy,Nancy:NURS-5315-002-ADVANCED PATHOPHYSIOLOGY"	Mean	4.8421	4.5263	4.7368	4.8421	4.7647	4.6842
	N	19	19	19	19	17	19
"Hansen,Danielle:KINE-1400-011-INTRO TO EXERCISE SCIENCE"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Hansen,Danielle:KINE-3131-001-ATHLETIC TRAINING CLINICAL PRACTICUM III"	Mean	3.9091	4	3.9091	3.7273	3.7273	3.9
	N	11	11	11	11	11	10
"Hansen,Danielle:KINE-3300-001-FUNCTIONAL ANATOMY"	Mean	3.6364	3.6364	3.9091	3.6364	3.75	3.5455
	N	11	11	11	11	12	11
"Hao,Yaowu:MSE-4320-001-NANOSCALE MATERIALS"	Mean	4	4	4	5	5	5
	N	1	1	1	1	1	1
"Hao,Yaowu:MSE-4390-004 & MSE-5321-001-PHASE TRANSFORMATION MATERIALS"	Mean	3.8571	3.8571	3.7143	4.4286	4.6667	4.2857
	N	7	7	7	7	6	7
"Hao,Yaowu:MSE-5390-001-SPEC TOPICS MSE"	Mean	3.6	3.6	4	3.6	4.6	4.6
	N	5	5	5	5	5	5
"Haque,Mohamed Adil:CE-5369-001-COMPUTATIONAL GEOTECHNICS"	Mean	4	3.75	4.25	3.25	4	4.25
	N	3	4	4	4	3	4
"Hara,Billie:ENGL-1302-014-RHETORIC AND COMPOSITION II"	Mean	3.8	4.2	4.2	3.4	3.8	4
	N	5	5	5	5	5	5
"Hara,Billie:ENGL-1302-027-RHETORIC AND COMPOSITION II"	Mean	3.5	3.5	4.5	1	3.5	4
	N	2	2	2	1	2	2
"Hara,Billie:ENGL-2338-003-TECHNICAL WRITING"	Mean	4.6	4.6	4.6	4	4.2	4.8
	N	5	5	5	5	5	5
"Hara,Billie:ENGL-2338-004-TECHNICAL WRITING"	Mean	3.2857	3.4286	3.7143	3.2857	3.1429	3.5714
	N	7	7	7	7	7	7
"Hara,Billie:ENGL-2338-007-TECHNICAL WRITING"	Mean	3.2222	3	3.3333	2.4444	2.5556	3
	N	9	9	9	9	9	9
"Hardt,Heidi:POLS-2311-007-GOVT OF U S"	Mean	4.5385	4.5385	4.6154	4.6923	4.6923	4.6154
	N	13	13	13	13	13	13
"Hardt,Heidi:POLS-5384-001-TOPICS INTERNATIONAL RELATIONS"	Mean	4.75	4.5833	4.5833	4.6667	4.75	4.75
	N	12	12	12	12	12	12
"Hardy,James:EDAD-6310-001-STATISTICAL METHODS"	Mean	3.8571	3.5714	4	3.8571	4.4286	3.4286
	N	7	7	7	7	7	7
"Hardy,Lauren:BIOL-1441-009-CELL MOL BIOL"	Mean	2.6	2.6	2.6	3	3	2.2
	N	5	5	5	5	5	5
"Hardy,Lauren:BIOL-1441-012-CELL MOL BIOL"	Mean	3.75	3	3	4.25	2.75	2.75
	N	4	4	4	4	4	4
"Hargreaves,Jean:KINE-4321-001-TEACHING ELEM PHYSICAL ED"	Mean	4.5	4.5	5	4.5	5	5
	N	2	2	1	2	2	2
"Hargreaves,Jean:KINE-4321-002-TEACHING ELEM PHYSICAL ED"	Mean	4.5	4.5	4.5	4.5	5	5
	N	2	2	2	2	2	2
"Harp,Dustin:COMM-5306-001-QUALITATIVE RESEARCH METHODS"	Mean	4.7143	4.8571	4.8571	4.7143	4.8571	4.8571
	N	7	7	7	7	7	7
"Harp,Dustin:JOUR-4325-001-SPECIALIZED REPORTING"	Mean	4	3.5714	3.5714	3.8571	4.4286	3.7143
	N	7	7	7	7	7	7
"Harrell,Jared:REAE-5337-002-REAL PROPERTY LAW"	Mean	4.3333	3	4.6667	4.6667	4.6667	3.6667
	N	3	3	3	3	3	3
"Harris,Cecil:MAE-1350-001-GRAPHICS FOR ENGINEERS"	Mean	4.6	4.1	4	4.6	3.6667	4.4
	N	10	10	10	10	9	10
"Harris,Cecil:MAE-1350-002-GRAPHICS FOR ENGINEERS"	Mean	4	3.7778	3.8889	4	3.8889	3.8889
	N	9	9	9	9	9	9
"Harris,Cecil:MAE-1350-003-GRAPHICS FOR ENGINEERS"	Mean	4.3636	4	4	4.6364	4.4286	4.3
	N	11	11	10	11	7	10
"Harris,Cecil:MAE-1350-004-GRAPHICS FOR ENGINEERS"	Mean	4.7143	4.8571	4.4286	4.7143	4.2857	4.8571
	N	7	7	7	7	7	7
"Harris,Cecil:MAE-1350-005-GRAPHICS FOR ENGINEERS"	Mean	4.6667	4.6667	4.6667	4.5	4.6	4.6667
	N	6	6	6	6	5	6
"Harris,Cecil:MAE-1350-006-GRAPHICS FOR ENGINEERS"	Mean	4.2	4.4	4.4	3.8	3.75	3.8
	N	5	5	5	5	4	5
"Harris,Cecil:MAE-1350-007-GRAPHICS FOR ENGINEERS"	Mean	4.7143	4.8571	4.5714	4.5714	4.4286	4.5714
	N	7	7	7	7	7	7
"Harris,Cecil:MAE-1350-008-GRAPHICS FOR ENGINEERS"	Mean	4.5	4.3333	4.3333	4.6667	3.8	4.6667
	N	6	6	6	6	5	6
"Harris,Harold:HIST-4377-001-AFR DIASPOR II"	Mean	4.6	4.6	4.6	4.8	4.75	4.8
	N	5	5	5	5	4	5
"Harris,Robert:MAE-3405-001-FLIGHT DYNAMICS"	Mean	4.375	3.875	4.25	3.875	4.7143	4.25
	N	8	8	8	8	7	8
"Harrison,Lonny:MODL-5304-001-CURRENTS"	Mean	4.6667	4.5	5	5	5	4.6667
	N	9	8	9	9	9	9
"Harrison,Lonny:RUSS-3333-001-CONVERSATION: RUSSIAN CULTURE"	Mean	4.75	4.25	5	4.75	5	4.75
	N	4	4	4	4	4	4
"Harrison,Lonny:RUSS-4362-001 & POLS-4362-001-RUSSIA TODAY (2132-1-0097)"	Mean	4	4.1429	4.3333	4.5	4.2857	4.375
	N	7	7	6	6	7	8
"Hart,Valerie:NURS-6324-001-CLINICAL INFORMATION SYSTEMS"	Mean	4.25	4.25	4.25	4.25	4.25	4.25
	N	4	4	4	4	4	4
"Hartzell,Meredith:PSYC-4410-002-ADV TOP IN DEVELOPMENTAL PSYC"	Mean	4.5385	4.4615	4.4615	4.5385	4.6154	4.3846
	N	13	13	13	13	13	13
"Harvey,Michelle:THEA-1305-001-INTRO THEATRICAL DESIGN"	Mean	4.3333	3.6667	3.6667	4	4.3333	3.6667
	N	3	3	3	3	3	3
"Harvey,Sabine:GERM-1441-001-GERMAN LEVEL I"	Mean	4.8571	4.7857	4.8571	4.7857	4.7692	5
	N	14	14	14	14	13	14
"Harvey,Sabine:GERM-1441-002-GERMAN LEVEL I"	Mean	4.9333	4.8667	4.8667	4.9333	4.9286	5
	N	15	15	15	15	14	15
"Harvey,Sabine:GERM-2313-022-INTERMEDIATE GERMAN I"	Mean	4.8571	4.9048	4.9048	4.8571	4.8571	4.9048
	N	21	21	21	21	21	21
"Harvey,Sabine:GERM-2314-022-INTERMEDIATE GERMAN II"	Mean	4.8636	4.8636	4.8636	4.8182	4.8636	4.9091
	N	22	22	22	22	22	22
"Hasan,Md:CE-4347-001-REINFORCED CONCRETE DESIGN"	Mean	4.0625	3.875	3.875	4.0625	4.25	3.875
	N	16	16	16	16	16	16
"Hash,Paul:MANA-5327-001-HUMAN RESOURCE LAW"	Mean	4.6	4.8	4.4	4.8	3.8	4.8
	N	5	5	5	5	5	5
"Hawkins,Doyle:MATH-3302-001-MULTIVARIATE STATISTICAL METH"	Mean	2.75	2.25	2.5	3	4	2.25
	N	4	4	4	4	4	4
"Hawkins,Doyle:MATH-5305-001-STATISTICAL METHODS"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Hawley,Robert:SOCW-6324-003/004-RESEARCH AND EVALUATION METHODS IN SOCIAL WORK II"	Mean	4.9167	4.4167	4.5	4.4167	4.8333	4.8333
	N	12	12	12	12	12	12
"Hawley,Robert:SOCW-6363-001/002-BUDGETING AND FINANCIAL MANAGEMENT"	Mean	4.25	4	3.875	3.875	4	3.7143
	N	8	8	8	8	7	7
"Hawthorne Jr,James:CRCJ-3337-001-ADV CRIM PROC"	Mean	4.75	4.5625	4.625	4.25	4.0667	4.625
	N	16	16	16	16	15	16
"Hayes,Micah:MUSI-3394-001-DIGITAL MUSIC TECHNOLOGY"	Mean	5	4.5	4.5	5	5	4.5
	N	2	2	2	2	2	2
"Hayes,Micah:MUSI-4326-001-RECORDING TECHNIQUES III"	Mean	4.5556	4.4444	4.625	4.2222	3.75	4.4444
	N	9	9	8	9	8	9
"Hayes,Micah:MUSI-4390-001-RECORDING TECHNIQUES I"	Mean	3.5	4	4.0833	3.75	3.8333	3.8333
	N	12	12	12	12	12	12
"Hayes,Micah:MUSI-4390-002-RECORDING TECHNIQUES I"	Mean	4	4	4.6667	4.6667	4.3333	4
	N	6	6	6	6	6	6
"Haynes,Sam:HIST-3359-001-PRES PERSNLTY"	Mean	4	4	4.6667	4.5	4.8333	4.5
	N	6	6	6	6	6	6
"Haynes,Sam:HIST-3363-002-TEXAS TO 1850"	Mean	4.1176	4	4.4118	4.4706	4.4375	4.1765
	N	17	17	17	17	16	17
"Hays-Stang,Kathy:MAE-2360-004-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	2.4444	2	2.5556	1.8889	3.3333	1.8889
	N	9	9	9	9	9	9
"Hays-Stang,Kathy:MAE-2360-005-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	2.4	2	2.2	2.2	3.4	1.8
	N	5	5	5	5	5	5
"Hays-Stang,Kathy:MAE-3360-001-ENGINEERING ANALYSIS"	Mean	2.4167	1.9583	3	1.875	3.7273	1.7083
	N	24	24	24	24	22	24
"Hayunga,Darren:FINA 5323-001-INVESTMENTS & FINA-6390-004-SEMINAR SPEC TOPICS IN FINANCE"	Mean	4.6	4.6	4	4.6	4.75	4.4
	N	5	5	5	5	4	5
"Hayunga,Darren:FINA-5330-001-REAL OPTIONS & FINA-6390-001-SEMINAR SPEC TOPICS IN FINANCE"	Mean	4.6	4.4	4.8	4.8	4.8	4.7
	N	10	10	10	10	10	10
"Hayunga,Darren:FINA-5330-002-REAL OPTIONS"	Mean	5	5	4.5	5	5	5
	N	2	2	2	2	2	2
"Healy,Ann:THEA-1303-001-VOCAL PERF I: FUNDAMENTALS"	Mean	4.6667	4.3333	4.3333	4.3333	3.6667	4.3333
	N	3	3	3	3	3	3
"Healy,Ann:THEA-3300-001-DIRECTING I"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Healy,Ann:THEA-3300-101-DIRECTING I"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Healy,James:CRCJ-3336-001-POLICE MGMT & ADMINISTRATION"	Mean	4.7308	4.7692	4.7308	4.7308	4.8462	4.7692
	N	26	26	26	26	26	26
"Heath,Larry:MATH-1325-002-ANALYTIC GEOMETRY"	Mean	3.7778	2.9474	2.7895	3.7222	3.2353	2.7368
	N	18	19	19	18	17	19
"Heddins,Brad:KINE-1400-002-INTRO TO EXERCISE SCIENCE"	Mean	4.7857	4.3571	4.4286	4.7857	4.3571	4.6429
	N	14	14	14	14	14	14
"Heddins,Brad:KINE-4315-001-FITNESS ASSESSMENT/PROGRAMMING"	Mean	4.1	3.3	3.7	4.1	4.6	3.6
	N	10	10	10	10	10	10
"Heddins,Brad:KINE-4315-002-FITNESS ASSESSMENT/PROGRAMMING"	Mean	3.5	3.5	4	4	4.5	3.5
	N	2	2	2	2	2	2
"Hegar,Rebecca:SOCW-6328-001-SOC POLICY RSRCH AND ANALYSIS"	Mean	5	4.5	5	4.75	5	4.75
	N	4	4	4	4	4	4
"Hegar,Rebecca:SOCW-6342-001-HUMAN BEHAVIOR IN MACRO ENVIRO"	Mean	4.5	4.8333	4.8333	5	4.6667	5
	N	6	6	6	6	6	6
"Hegstad Rhodes,Lorraine:NURS-5334-001-ADVANCED PHARMACOLOGY FOR ANP"	Mean	3.9333	3.2	4	4.3333	4.0667	3.3077
	N	15	15	15	15	15	13
"Hegstad Rhodes,Lorraine:NURS-5334-002-ADVANCED PHARMACOLOGY FOR ANP"	Mean	4.2667	3.8	4.2143	4.5333	4.3846	3.8
	N	15	15	14	15	13	15
"Heien,Kimberly:NURS-3425-502-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	3.9375	3.875	3.7813	4.1	3.4483	3.5937
	N	32	32	32	30	29	32
"Heien,Kimberly:NURS-3425-504-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	3.5333	3.7	3.7667	3.9333	3.6071	3.3214
	N	30	30	30	30	28	28
"Heinen,Dustin:CLAS-2303-001-CLASSIC ROOTS & HONR-LA-2303-003-HONORS SPECIAL TOPICS"	Mean	5	4.5	4.75	4.75	4.3333	4.75
	N	4	4	4	4	3	4
"Heinen,Dustin:LATN-2313-001-LATIN LEVEL III"	Mean	4.375	4.125	4.75	4.375	4.5714	4.375
	N	8	8	8	8	7	8
"Heinen,Dustin:LATN-2314-001-LATIN LEVEL IV"	Mean	4.6	4.8	4.8	4.8	5	4.6
	N	5	5	5	5	4	5
"Heinen,Dustin:LATN-4335-001-TOPICS LATIN LITERATURE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Hekman,Susan:POLS-4329-001-CONTROVERSIES POLITICAL THEORY"	Mean	4.5	4.2727	4.6364	4.7727	4.2	4.4545
	N	22	22	22	22	20	22
"Hekman,Susan:POLS-4329-002-CONTROVERSIES POLITICAL THEORY"	Mean	4.2667	3.8667	4.3333	4.6	4	4.1333
	N	15	15	15	15	13	15
"Hekman,Susan:WOMS-2310-001-INTRO WOMEN'S & GENDER STUDIES"	Mean	4.3333	4.1333	4.2667	4.7857	4.2857	4
	N	15	15	15	14	14	15
"Hellawell,Marisa:EDAD-5380-001-DIVERSITY AND EQUITY"	Mean	4	3.6	3.8	4	4.6	4
	N	5	5	5	4	5	5
"Heller,Matthew:ART-2354-001-TYPOGRAPHY"	Mean	2.7778	3.3333	3.8889	3.4444	3.7778	2.6667
	N	9	9	9	9	9	9
"Hellwege,Kerstin:GERM-1441-003-GERMAN LEVEL I"	Mean	4.6	4.2	4.2	4.4	4.2	4.4
	N	5	5	5	5	5	5
"Helmes,Mary:ART-1305-003-TWO-DIMENSIONAL DESIGN"	Mean	3.8333	3.6667	4.3333	3.8333	4.1667	3.8333
	N	6	6	6	6	6	6
"Henderson,Desiree:ENGL-3370-001 & WOMS-3370-001-WOMEN IN LITERATURE (2132-1-0321)"	Mean	4.2143	4.1429	4.2857	4.5	4.2857	4
	N	14	14	14	14	14	14
"Henderson,Sandra:ACCT-3303-001-ACCOUNTING INFO SYSTEMS"	Mean	3.6875	3.1875	3.1875	3.8125	4	2.9375
	N	16	16	16	16	16	16
"Henderson,Sandra:ACCT-3303-002-ACCOUNTING INFO SYSTEMS"	Mean	4	3.6667	4.1667	4	4.8	4
	N	6	6	6	6	5	6
"Henderson,Sandra:ACCT-3303-003-ACCOUNTING INFO SYSTEMS"	Mean	4.5455	4.4	4.5455	4.8182	4.8182	4.4545
	N	11	10	11	11	11	11
"Henderson,Sandra:ACCT-4304-001-COST ACCOUNTING"	Mean	4.4286	4.4286	4.4286	3.8571	4.1429	3.7143
	N	7	7	7	7	7	7
"Hennes,Janelle:NURS-3333-001-HLTH PROMO ACROSS LIFESPAN"	Mean	3.875	3.625	3.875	3.9375	3.9375	3.5625
	N	16	16	16	16	16	16
"Hennes,Janelle:NURS-3333-002-HLTH PROMO ACROSS LIFESPAN"	Mean	4.8182	4.5455	4.5455	4.9091	4.6364	4.7273
	N	11	11	11	11	11	11
"Hennes,Janelle:NURS-3333-600-HLTH PROMO ACROSS LIFESPAN"	Mean	3.8571	3.7619	4.1429	4.2	4.1905	3.85
	N	21	21	21	20	21	20
"Henry,Danielle:KINE-1400-002-INTRODUCTION TO EXERCISE SCIENCE"	Mean	4.7	4.5	4.4	4.6667	4.4	4.7
	N	10	10	10	9	10	10
"Henry,Danielle:KINE-1400-003-INTRO TO EXERCISE SCIENCE"	Mean	4	2.75	3.25	3.25	4.25	3.5
	N	4	4	4	4	4	4
"Henry,Danielle:KINE-1400-004-INTRO TO EXERCISE SCIENCE"	Mean	5	5	5	4.75	4.75	5
	N	4	4	4	4	4	4
"Henry,Danielle:KINE-1400-012-INTRO TO EXERCISE SCIENCE"	Mean	4.2	3.8	4	4.2	4.4	4.4
	N	5	5	5	5	5	5
"Henry,Danielle:KINE-1400-013-INTRO TO EXERCISE SCIENCE"	Mean	4.6667	4.5	4.25	4.25	3	4
	N	3	4	4	4	4	4
"Henry,Timothy:BIOL-1433-001-INTRODUCTION TO BIOLOGY I"	Mean	3.6875	3.1333	3.5	3.4	3.9375	3.5625
	N	16	15	14	15	16	16
"Henry,Timothy:BIOL-1433-002-INTRODUCTION TO BIOLOGY I"	Mean	3.6875	3.3125	3.5333	3.875	3.625	3.1875
	N	16	16	15	16	16	16
"Henry,Timothy:BIOL-1434-001-INTRODUCTION TO BIOLOGY II"	Mean	4.0909	3.1818	3.1818	3.6364	3.4545	3.4545
	N	11	11	11	11	11	11
"Henry,Timothy:BIOL-1434-002-INTRODUCTION TO BIOLOGY II"	Mean	3.8889	3.5	3.7778	4.25	3.4444	3.125
	N	9	8	9	8	9	8
"Henry,Timothy:BIOL-2457-001-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.2895	3.7368	3.8947	4.5263	4.0263	4
	N	38	38	38	38	38	38
"Henry,Timothy:BIOL-2458-001-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.2222	3.5833	3.8485	4.3611	4.2286	3.75
	N	36	36	33	36	35	36
"Heo,Jongyun:CHEM-4242-001-LAB TECHNIQUES IN BIOCHEMISTRY"	Mean	4	3	3	3	5	4
	N	1	1	1	1	1	1
"Heo,Jongyun:CHEM-4242-002-LAB TECHNIQUES IN BIOCHEMISTRY"	Mean	3.5	3.5	3.8333	3.6	3.75	3.1667
	N	6	6	6	5	4	6
"Heo,Jongyun:CHEM-4314-001 & CHEM-5325-001-ENZYMOLOGY (2132-1-0008)"	Mean	4.4667	4.4	4.3333	4.4667	4.0769	4.2
	N	15	15	15	15	13	15
"Herath,Herath:CHEM-1441-105-GENERAL CHEMISTRY I"	Mean	4.3846	4.3077	4.3077	4.6154	4.4615	4.5385
	N	13	13	13	13	13	13
"Herath,Herath:CHEM-1441-114-GENERAL CHEMISTRY I"	Mean	4	3.7692	4	4.3077	3.6667	3.4615
	N	13	13	13	13	12	13
"Hermes,Charles:PHIL-1304-001-MORAL PROBLEMS"	Mean	2.5	3	4.5	2	3.5	3
	N	2	2	2	2	2	2
"Hermes,Charles:PHIL-3307-001-PHILOSOPHICAL RESEARCH/WRITING"	Mean	4.6667	3.8333	3.8333	4.3333	4.1667	4
	N	6	6	6	6	6	6
"Hermes,Charles:PHIL-3321-001-PHIL LANGUAGE & PHIL-6394-001-TOPICS SYSTEMATIC PHILOSOPHY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Herrera,Anel:SPAN-1441-010-BEGINNING SPANISH I"	Mean	4.3333	4.3333	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Herrera,Anel:SPAN-1441-013-BEGINNING SPANISH I"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Hickerson,Jane:SOCW-6305-006-INTEGRATIVE SEMINAR"	Mean	4.2727	4.2222	4	3.8889	3.8	3.9
	N	11	9	11	9	10	10
"Hill,Pamela:AAST-2300-001-INTRO AFRICAN AMERICAN STUDIES"	Mean	4.7143	4.8571	5	4.7143	4.7143	4.8571
	N	7	7	7	7	7	7
"Hilton,Scott:ART-2359-001-INTRODUCTION TO PHOTOGRAPHY"	Mean	4.8	4.8	4.8	5	4.8	4.8
	N	5	5	5	5	5	5
"Hilton,Scott:ART-2359-002-INTRODUCTION TO PHOTOGRAPHY"	Mean	5	5	5	5	4.8	5
	N	5	5	5	5	5	5
"Hilton,Scott:ART-4370-001-STAGED ENVIRONMENTS"	Mean	4.8333	4.6667	4.8333	4	4.8333	4.3333
	N	6	6	6	6	6	6
"Himarios,Jane:ECON-2305-004-PRIN MACRO ECO"	Mean	4.4211	4.1579	4.1053	4.4211	4.3684	4
	N	19	19	19	19	19	19
"Himarios,Jane:ECON-2305-005-PRIN MACRO ECO"	Mean	3.8824	3.6471	3.5	4.1176	4	3.8125
	N	17	17	16	17	15	16
"Himarios,Jane:ECON-2305-006/007/008-PRIN MACRO ECO (2132-1-0195)"	Mean	4.4286	3.6429	3.9286	4.3846	4.4286	3.7143
	N	14	14	14	13	14	14
"Himarios,Jane:ECON-3303-005/007-MONEY & BANKING (2132-1-0197)"	Mean	4.1333	3.8	4.3333	4.2143	4.5714	3.8667
	N	15	15	15	14	14	15
"Hintz,Gene:SOCW-5301-001-HUMAN BEHAV & SOCIAL ENV I"	Mean	4.8	4.8	4.8	4.8	5	4.8
	N	5	5	5	5	3	5
"Hintz,Gene:SOCW-5317-002-HUMAN BEHAVIOR & DIVERSE POPS"	Mean	4.7273	4.2727	4.6364	4.6364	4.6	4.6364
	N	11	11	11	11	10	11
"Hissong,Rod:URPA-5312-001-ECONOMIC POLICY"	Mean	3.5833	3.6667	4	4.0833	3.5	3.3333
	N	12	12	12	12	10	12
"Hissong,Rod:URPA-5329-001-FIN MGT PUBLIC & NON-PROFIT"	Mean	3.375	3.375	3.75	4.125	4	3.25
	N	8	8	8	8	7	8
"Ho,Li-Chin:ACCT-4302-002-MANAGERIAL ACCOUNTING & ACCT-5322-001-ACCT MGMT PLANNING & CONTROL"	Mean	4.5	4.1667	4.1667	4.6667	4.4	3.8333
	N	6	6	6	6	5	6
"Ho,Li-Chin:ACCT-6309-001-SEMINAR IN ACCT RESEARCH I"	Mean	4.75	4.5	4.5	4.75	4.5	4.25
	N	4	4	4	4	4	4
"Ho,Tuan:ART-4392-002-SPECIAL STUDIES"	Mean	3.25	4.25	4	3.25	3.3333	4
	N	4	4	4	4	3	4
"Ho,Tuan:ART-4392-003-SPECIAL STUDIES"	Mean	3	4	4	3	3	3
	N	2	2	2	2	2	2
"Ho,Tuan:ART-5355-002-RESEARCH VISUAL COMMUNICATION"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Holland,Toni:ENGL-1302-020-RHETORIC AND COMPOSITION II"	Mean	4	1.5	2.5	2.5	4.5	2.5
	N	2	2	2	2	2	2
"Holland,Toni:ENGL-1302-022-RHETORIC AND COMPOSITION II"	Mean	3.3333	3.6667	4	4.6667	3	3.6667
	N	3	3	3	3	3	3
"Holland,Toni:ENGL-2319-004-BRITISH LITERATURE"	Mean	3.5	4	4	3.75	4	4
	N	4	4	4	4	4	4
"Holland,Toni:ENGL-2319-005-BRITISH LITERATURE"	Mean	1.75	1.5	2.75	2	1	1
	N	4	4	4	4	4	4
"Holland,Toni:ENGL-2319-006-BRITISH LITERATURE"	Mean	2.3333	2.3333	3	2.6667	3	1.6667
	N	3	3	3	3	3	3
"Holliday,Kathryn:ARCH-2304-001 & ARCH-5304-001-HISTORY OF ARCH & DESIGN II (2132-1-0293)"	Mean	4.1333	3.9667	4.0333	4.6	3.931	4.0333
	N	30	30	30	30	29	30
"Holliday,Kathryn:ARCH-4315-001 & ARCH-5315-001-ARCHITECTURAL HISTORY TOPICS"	Mean	4.6	4.8	4.8	5	5	4.8
	N	5	5	5	5	5	5
"Hong,Yi:BE-4191-006-DIRECTED RESEARCH IN BE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Hong,Yi:BE-4333-006 & BE-5333-006-NANOBIOMATERIALS (2132-1-0055)"	Mean	2.9091	3	3.1818	3.0909	4.0909	2.9091
	N	11	11	11	11	11	11
"Hoolapa,Brenda:NURS-4441-001-NURSING: CHILDBEARING FAMILY"	Mean	3.2609	3.3913	3.9091	3.087	3.7619	3.2609
	N	23	23	22	23	21	23
"Hoolapa,Brenda:NURS-4441-002-NURSING: CHILDBEARING FAMILY"	Mean	3.2941	3.2941	3.6471	3.5882	3.5294	3.1765
	N	17	17	17	17	17	17
"Hopkins,Patricia:SPAN-1441-019-BEGINNING SPANISH I"	Mean	3.75	3.75	3.75	3.75	4	3.75
	N	4	4	4	4	4	4
"Hopkins,Patricia:SPAN-1441-020-BEGINNING SPANISH I"	Mean	2.4	2.2	2.8	3.6	2.8	2.25
	N	5	5	5	5	5	4
"Hopkins,Robert:BCOM-3360-009-EFFECTIVE BUSINESS COMMUNICATI"	Mean	3	4	4.3333	3	4	3
